"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,,,,,,";"";8;"";;;
2;"U2";"ProMicroDsh";1;"ProMicro";;;
3;"HS1,HS2,HS3,HS4,HS5,HS6,HS7,HS8";"DY-CN-025";8;"Heatsink";;;
4;"SW2,SW1";"SW_PUSH_6mm_H4.3mm";2;"SW_Push";;;
5;"J12,J11";"PhoenixContact_MSTBA_2,5_8-G_1x08_P5.00mm_Horizontal";2;"Conn_01x08";;;
6;"J9,J6,J1,J3,J4,J5,J7,J10,J8";"PhoenixContact_MSTBA_2,5_2-G_1x02_P5.00mm_Horizontal";9;"Conn_01x02";;;
7;"R41,R45,R47,R43,R55,R53,R49,R51,R2,R29,R27,R33,R7,R31,R21,R23,R35,R25";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";18;"10k";;;
8;"J2";"PhoenixContact_MSTBA_2,5_3-G_1x03_P5.00mm_Horizontal";1;"Conn_01x03";;;
9;"R42,R44,R52,R56,R48,R50,R54,R46";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";8;"200";;;
10;"D27,D20,D4,D28,D3,D21,D24,D23,D25,D26,D22,D2";"LED_D3.0mm";12;"LED";;;
11;"Q1,Q5,Q3,Q4,Q7,Q2,Q8,Q6";"TO-220-3_Vertical";8;"IRLB8721PBF";;;
12;"C1";"CP_Radial_D6.3mm_P2.50mm";1;"470uF";;;
13;"U5,U4";"SMDIP-16_W9.53mm";2;"LTV-847S";;;
14;"PS1";"Converter_DCDC_Murata_MEE1SxxxxSC_THT";1;"MEE1S0505SC";;;
15;"D1";"D_SMA";1;"SS14";;;
16;"U20";"TO-92_Inline";1;"DS18B20";;;
17;"C2";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"1uF";;;
18;"U3";"HM813_V_A";1;"HW-813";;;
19;"U1";"RS485_TTL_1";1;"RS485_TTL";;;
20;"R6,R38,R5,R57,R40,R59,R58,R1,R37,R39,R60,R36";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";12;"1k";;;
21;"R61,R3,R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"4k7";;;
22;"R20,R28,R30,R32,R24,R34,R22,R26";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";8;"100";;;
23;"U8";"TSSOP-28_4.4x9.7mm_P0.65mm";1;"PCA9685PW";;;
24;"C4";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"100nF";;;
